Sexo;Federación;Comunidad autónoma;periodo;Total
TOTAL;Actividades Subacuáticas;Balears, Illes;2018;1.350
TOTAL;Actividades Subacuáticas;Balears, Illes;2017;1.134
TOTAL;Actividades Subacuáticas;Balears, Illes;2016;1.103
TOTAL;Actividades Subacuáticas;Balears, Illes;2015;1.194
TOTAL;Actividades Subacuáticas;Balears, Illes;2014;1.438
TOTAL;Actividades Subacuáticas;Balears, Illes;2013;1.540
TOTAL;Actividades Subacuáticas;Balears, Illes;2012;1.742
TOTAL;Actividades Subacuáticas;Balears, Illes;2011;1.953
TOTAL;Actividades Subacuáticas;Balears, Illes;2010;1.892
TOTAL;Actividades Subacuáticas;Balears, Illes;2009;2.046
TOTAL;Actividades Subacuáticas;Canarias;2024;2.193
TOTAL;Actividades Subacuáticas;Canarias;2023;2.102
TOTAL;Actividades Subacuáticas;Canarias;2022;1.943
TOTAL;Actividades Subacuáticas;Canarias;2021;1.866
TOTAL;Actividades Subacuáticas;Canarias;2020;2.023
TOTAL;Actividades Subacuáticas;Canarias;2019;1.432
TOTAL;Actividades Subacuáticas;Canarias;2018;1.740
TOTAL;Actividades Subacuáticas;Canarias;2017;1.754
TOTAL;Actividades Subacuáticas;Canarias;2016;1.643
TOTAL;Actividades Subacuáticas;Canarias;2015;1.818
TOTAL;Actividades Subacuáticas;Canarias;2014;1.747
TOTAL;Actividades Subacuáticas;Canarias;2013;1.838
TOTAL;Actividades Subacuáticas;Canarias;2012;1.749
TOTAL;Actividades Subacuáticas;Canarias;2011;2.098
TOTAL;Actividades Subacuáticas;Canarias;2010;2.192
TOTAL;Actividades Subacuáticas;Canarias;2009;1.953
TOTAL;Actividades Subacuáticas;Cantabria;2024;1.012
TOTAL;Actividades Subacuáticas;Cantabria;2023;1.007
TOTAL;Actividades Subacuáticas;Cantabria;2022;778
TOTAL;Actividades Subacuáticas;Cantabria;2021;748
TOTAL;Actividades Subacuáticas;Cantabria;2020;762
TOTAL;Actividades Subacuáticas;Cantabria;2019;723
TOTAL;Actividades Subacuáticas;Cantabria;2018;755
TOTAL;Actividades Subacuáticas;Cantabria;2017;694
TOTAL;Actividades Subacuáticas;Cantabria;2016;704
TOTAL;Actividades Subacuáticas;Cantabria;2015;683
TOTAL;Actividades Subacuáticas;Cantabria;2014;897
TOTAL;Actividades Subacuáticas;Cantabria;2013;897
TOTAL;Actividades Subacuáticas;Cantabria;2012;897
TOTAL;Actividades Subacuáticas;Cantabria;2011;1.304
TOTAL;Actividades Subacuáticas;Cantabria;2010;1.465
TOTAL;Actividades Subacuáticas;Cantabria;2009;1.505
TOTAL;Actividades Subacuáticas;Castilla y León;2024;488
TOTAL;Actividades Subacuáticas;Castilla y León;2023;472
TOTAL;Actividades Subacuáticas;Castilla y León;2022;548
TOTAL;Actividades Subacuáticas;Castilla y León;2021;532
TOTAL;Actividades Subacuáticas;Castilla y León;2020;438
TOTAL;Actividades Subacuáticas;Castilla y León;2019;570
TOTAL;Actividades Subacuáticas;Castilla y León;2018;584
TOTAL;Actividades Subacuáticas;Castilla y León;2017;675
TOTAL;Actividades Subacuáticas;Castilla y León;2016;575
TOTAL;Actividades Subacuáticas;Castilla y León;2015;636
TOTAL;Actividades Subacuáticas;Castilla y León;2014;644
TOTAL;Actividades Subacuáticas;Castilla y León;2013;736
TOTAL;Actividades Subacuáticas;Castilla y León;2012;891
TOTAL;Actividades Subacuáticas;Castilla y León;2011;863
TOTAL;Actividades Subacuáticas;Castilla y León;2010;749
TOTAL;Actividades Subacuáticas;Castilla y León;2009;664
TOTAL;Actividades Subacuáticas;Castilla-La Mancha;2024;847
TOTAL;Actividades Subacuáticas;Castilla-La Mancha;2023;932
TOTAL;Actividades Subacuáticas;Castilla-La Mancha;2022;941
TOTAL;Actividades Subacuáticas;Castilla-La Mancha;2021;813
TOTAL;Actividades Subacuáticas;Castilla-La Mancha;2020;743
